ticker,actif,secteur,rendement_moyen,volatilite_annualisee,score_environment,score_social,score_governance,score_total
AAPL,Apple Inc.,Technology,0.30627925328516176,0.27944227221783324,2.05,8.35,8.35,18.75
MSFT,Microsoft Corporation,Technology,0.22836598470211633,0.2506573794787564,3.56,8.98,4.8,17.34
GOOGL,Alphabet Inc. (Class A),Technology,0.18450450914031558,0.2561494521340826,2.94,11.74,10.21,24.89
AMZN,Amazon.com Inc.,Consumer Discretionary,0.33298264008767775,0.31334252382644995,8.3,11.05,6.75,26.1
TSLA,Tesla Inc.,Consumer Discretionary,0.6161934945034302,0.5560946310278736,3.04,14.13,7.6,24.76
META,Meta Platforms Inc.,Communication Services,0.2897715945393632,0.3695347332124477,2.41,21.64,8.68,32.73
NVDA,NVIDIA Corporation,Technology,0.39173757231566825,0.4188723838769507,2.73,4.08,5.65,12.46
BRK-B,Berkshire Hathaway Inc. (Class B),Financials,0.13041500457979646,0.20041578876789543,1.66,5.52,19.02,26.19
JPM,JPMorgan Chase & Co.,Financials,0.16064316781711743,0.28605897174939215,2.44,14.03,10.83,27.3
V,Visa Inc.,Financials,0.24288413765168143,0.25441957835794404,2.01,7.59,5.28,14.88
JNJ,Johnson & Johnson,Healthcare,0.1213626278718341,0.16764142162065548,0.94,13.03,5.95,19.93
WMT,Walmart Inc.,Consumer Staples,0.1277874895143665,0.18751694674295985,7.24,11.72,6.38,25.33
PG,Procter & Gamble Co.,Consumer Staples,0.11658718819052032,0.1696154410556119,9.72,10.52,5.61,25.84
UNH,UnitedHealth Group Incorporated,Healthcare,0.2605596937390325,0.25815532269451313,0.12,11.89,4.62,16.62
MA,Mastercard Incorporated,Financials,0.2770061187484801,0.2790407694792639,1.61,8.38,4.26,14.25
DIS,The Walt Disney Company,Communication Services,0.19610589444285395,0.2460816243951284,0.1,9.97,5.79,15.86
HD,The Home Depot Inc.,Consumer Discretionary,0.2465846429520902,0.2270596404020829,3.43,6.53,2.65,12.61
BAC,Bank of America Corporation,Financials,0.13138858648166685,0.35217198012555556,1.88,13.65,8.83,24.36
PFE,Pfizer Inc.,Healthcare,0.12022259615656358,0.20237614507795923,2.74,9.18,6.37,18.29
KO,The Coca-Cola Company,Consumer Staples,0.102768048748323,0.17321359190897143,9.24,10.29,4.35,23.89
PEP,PepsiCo Inc.,Consumer Staples,0.12152567749715323,0.17233071848291073,8.97,7.64,3.64,20.25
CSCO,Cisco Systems Inc.,Technology,0.11323425448108727,0.26731919359337697,0.4,7.64,5.05,13.09
ADBE,Adobe Inc.,Technology,0.27554569672577356,0.300225662129905,2.83,6.75,4.79,14.36
NFLX,Netflix Inc.,Communication Services,0.504022652516833,0.5090129391181553,0.16,7.38,8.35,15.88
TMO,Thermo Fisher Scientific Inc.,Healthcare,0.23442645513434768,0.24016148692539177,1.35,4.92,5.58,11.86
ABT,Abbott Laboratories,Healthcare,0.17162176749660146,0.21091452271506314,2.25,13.0,5.1,20.35
CRM,Salesforce Inc.,Technology,0.28329200696824264,0.3583555538947923,3.69,10.33,4.09,18.11
